STATION,STATION_NAME,City,ELEVATION,LATITUDE,LONGITUDE,Date,Year,Month,Day,PRCP,SNWD,SNWDcm,SNOW,SNOWcm,TMAX,TMIN
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-14,1981,2,14,0,76,7.6,0,0,4.4,-8.3
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-15,1981,2,15,0,25,2.5,0,0,8.3,-6.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-16,1981,2,16,1.5,25,2.5,0,0,8.3,1.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-17,1981,2,17,0,0,0,0,0,6.7,2.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-18,1981,2,18,0,0,0,0,0,10.6,3.3
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-19,1981,2,19,0.8,0,0,0,0,9.4,5.6
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-20,1981,2,20,0,0,0,0,0,7.8,1.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-21,1981,2,21,0,0,0,0,0,7.8,0
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-22,1981,2,22,10.4,0,0,0,0,9.4,0
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-23,1981,2,23,3.6,0,0,3,0.3,8.3,1.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-24,1981,2,24,1,0,0,3,0.3,5.6,-1.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-25,1981,2,25,0,0,0,0,0,6.1,-2.8
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-26,1981,2,26,0,0,0,0,0,3.3,-2.8
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-02-27,1981,2,27,0.3,0,0,0,0,3.3,-5
