City,Population,Transect,Lat.pop,Long.pop
Toronto,51,B,43.66677071,-79.58811171
Toronto,52,B,43.65359237,-79.59483319
Toronto,53,B,43.65254421,-79.61222466
Toronto,54,B,43.64917643,-79.6210086
Toronto,55,B,43.64228065,-79.6307686
Toronto,56,B,43.63520223,-79.63887687
Toronto,57,B,43.62759151,-79.650179
Toronto,58,B,43.62269316,-79.66040198
Toronto,59,B,43.61869318,-79.67039911
Toronto,60,B,43.61443904,-79.68222202
Toronto,61,B,43.60973886,-79.6888543
Toronto,62,B,43.59252008,-79.68810147
Toronto,63,B,43.58807494,-79.69810103
Toronto,64,B,43.58249518,-79.70595034
Toronto,65,B,43.56542753,-79.69993662
Toronto,66,B,43.55596515,-79.71029559
Toronto,67,B,43.54694878,-79.72037514
Toronto,68,B,43.54053796,-79.7268469
Toronto,69,B,43.52370691,-79.74580418
Toronto,70,B,43.51813295,-79.75202867
Toronto,71,B,43.50122643,-79.75847466
Toronto,72,B,43.48836331,-79.75211863
Toronto,73,B,43.47841214,-79.76314166
Toronto,74,B,43.47103724,-79.77122198
Toronto,75,B,43.45752564,-79.75460259
Toronto,76,B,43.44216873,-79.77350687
Toronto,77,B,43.446351,-79.79789595
Toronto,78,B,43.43697531,-79.80823568
Toronto,79,B,43.43666174,-79.82504026
Toronto,80,B,43.4281789,-79.83364941
Toronto,81,B,43.41100034,-79.83634158
Toronto,82,B,43.40464167,-79.84302214
Toronto,83,B,43.3983028,-79.85073545
Toronto,84,B,43.67341473,-79.56898504
Toronto,85,B,43.68469058,-79.56377071
Toronto,86,B,43.68870796,-79.54969796
Toronto,87,B,43.69236333,-79.53795555
Toronto,88,B,43.69756271,-79.52454705
Toronto,89,B,43.70104785,-79.51156759
Toronto,90,B,43.70214998,-79.49979723
Toronto,91,B,43.70514398,-79.48893699
Toronto,92,B,43.70942878,-79.47234106
Toronto,93,B,43.71300431,-79.46299192
Toronto,94,B,43.71542577,-79.44979852
Toronto,95,C,43.95298206,-78.9600189
Toronto,96,C,43.95415941,-78.97423694
Toronto,97,C,43.957231,-78.997517
Toronto,98,C,43.96003555,-79.00767202
Toronto,99,C,43.9394414,-79.01742952
Toronto,100,C,43.93221747,-79.03384622
Toronto,101,C,43.93092424,-79.05568178
Toronto,102,C,43.92854685,-79.06640839
Toronto,103,C,43.92464106,-79.07007854
Toronto,104,C,43.89005593,-79.06586621
Toronto,105,C,43.90227072,-79.09777029
Toronto,106,C,43.89434269,-79.13011439
Toronto,107,C,43.89120349,-79.14366973
Toronto,108,C,43.8813535,-79.14593607
Toronto,109,C,43.86494226,-79.17410511
Toronto,110,C,43.85366235,-79.18029383
Toronto,111,C,43.8500703,-79.19347686
Toronto,112,C,43.84474537,-79.21667322
Toronto,113,C,43.83980802,-79.23145293
Toronto,114,C,43.83784332,-79.24921964
Toronto,115,C,43.83430312,-79.26242083
Toronto,116,C,43.83251828,-79.27349158
Toronto,117,C,43.82853877,-79.28746333
Toronto,118,C,43.82482022,-79.30292324
Toronto,119,C,43.82545532,-79.31859168
Toronto,120,C,43.74692717,-79.30835738
Toronto,121,C,43.7414388,-79.31842839
Toronto,122,C,43.7387551,-79.33702561
Toronto,123,C,43.73896784,-79.35153552
Toronto,124,C,43.73483029,-79.35765708
Toronto,125,C,43.7322003,-79.37212899
Toronto,126,C,43.72818884,-79.39206116
Toronto,127,C,43.72146965,-79.40925437
Toronto,128,C,43.72226108,-79.42658187
NewYork,1,NA,41.06684063,-73.7664428
NewYork,2,NA,41.05764423,-73.76585573
NewYork,3,NA,41.0487271,-73.7707796
NewYork,4,NA,41.03940032,-73.76651782
NewYork,5,NA,41.028981,-73.7625079
NewYork,6,NA,41.02321387,-73.7743217
NewYork,7,NA,41.01662283,-73.77748979
NewYork,8,NA,41.006171,-73.783879
NewYork,9,NA,40.99805,-73.789164
NewYork,10,NA,40.98898405,-73.79618912
NewYork,11-I,NA,40.98291495,-73.80193395
NewYork,11-II,NA,40.97248577,-73.80600214
NewYork,13,NA,40.96374776,-73.81116181
NewYork,14,NA,40.95393317,-73.81533771
NewYork,15,NA,40.94553252,-73.82073067
NewYork,16,NA,40.93617494,-73.81817902
NewYork,17,NA,40.928282,-73.821338
NewYork,18,NA,40.92207784,-73.8243115
NewYork,19,NA,40.91708234,-73.83565107
NewYork,20,NA,40.91317406,-73.843813
NewYork,21,NA,40.90569091,-73.845136
NewYork,22,NA,40.89962834,-73.86090244
NewYork,23,NA,40.89145647,-73.8636153
NewYork,24,NA,40.88470622,-73.86632708
NewYork,25,NA,40.87018885,-73.87557481
NewYork,26,NA,40.86567493,-73.89644558
NewYork,27,NA,40.85026895,-73.90124423
NewYork,28,NA,40.84161268,-73.90571903
NewYork,29,NA,40.8341159,-73.92268777
NewYork,30,NA,40.82864985,-73.92304326
NewYork,31,NA,40.82173173,-73.92680239
NewYork,32,NA,40.82362801,-73.94303319
NewYork,33,NA,40.81715555,-73.94882695
NewYork,34,NA,40.8096206,-73.95556276
NewYork,35,NA,40.80236679,-73.96060215
NewYork,36,NA,40.77152578,-73.97473281
NewYork,37,NA,41.120385,-73.74837
NewYork,38,NA,41.1183575,-73.75784761
